,Legislator name,Connections,Legislator name,Legislative Effectiveness Score,party
367,Rick Larsen,121,Rick Larsen,0.24046944081783295,D
368,Elaine Luria,83,Elaine Luria,3.4763355255126953,D
369,Seth Moulton,87,Seth Moulton,0.6349627375602722,D
370,Mikie Sherrill,93,Mikie Sherrill,0.6107538938522339,D
371,Jackie Speier,117,Jackie Speier,0.985162079334259,D
372,Xochitl Torres Small,86,Xochitl Torres Small,1.7758245468139648,D
373,Filemon Vela,102,Filemon Vela,0.36086052656173706,D
374,Paul Mitchell,121,Paul Mitchell,0.25151902437210083,R
375,Jason Crow,79,Jason Crow,0.5572408437728882,D
376,Salud Carbajal,167,Salud Carbajal,0.8887825608253479,D
377,Jim Cooper,96,Jim Cooper,0.03976054489612579,D
378,Kendra Horn,93,Kendra Horn,0.4342665374279022,D
379,John Garamendi,121,John Garamendi,0.6334449648857117,D
380,Jared Golden,79,Jared Golden,0.8678845167160034,D
381,Katie Hill,133,Katie Hill,0.2471904754638672,D
382,Mac Thornberry,56,Mac Thornberry,0.06958094984292984,R
383,Mike Rogers,86,Mike Rogers,0.09940135478973389,R
384,Austin Scott,102,Austin Scott,0.2713993191719055,R
385,Don Bacon,102,Don Bacon,0.8577378392219543,R
386,Michael Turner,77,Michael Turner,0.2106490284204483,R
387,Michael Waltz,93,Michael Waltz,0.20070889592170715,R
388,Trent Kelly,125,Trent Kelly,0.40416276454925537,R
389,Jack Bergman,83,Jack Bergman,1.3701997995376587,R
390,Mo Brooks,93,Mo Brooks,0.08946122229099274,R
391,Scott DesJarlais,102,Scott DesJarlais,0.07156898081302643,R
392,Mike Gallagher,121,Mike Gallagher,0.6169635057449341,R
393,Sam Graves,121,Sam Graves,0.6373552083969116,R
394,Sam Graves,121,Tom Graves,0.009940136224031448,R
395,Vicky Hartzler,102,Vicky Hartzler,1.0901732444763184,R
396,Ralph Abraham,102,Ralph Abraham,0.03976054489612579,R
397,Kenny Marchant,69,Kenny Marchant,0.05964081361889839,R
398,Jackie Walorski,50,Jackie Walorski,0.13916189968585968,R
399,Adam Schiff,21,Adam Schiff,0.9837734699249268,D
